Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
CAR,CAR435,Northeast Mississippi Landfill,Landfill Gas Capture/Combustion,US,[],8/26/2020,0,76322,
CAR,CAR1306,"Proyecto Carbono Forestal, Ejido San Nicolás Totolapan, CDMX",Forestry - MX,MX,[],12/7/2018,0,445,
CAR,CAR892,Roanoke Valley Resource Authority - Smith Gap Regional Landfill,Landfill Gas Capture/Combustion,US,[],2/4/2020,0,63205,
CAR,CAR1396,Van Steyn Dairy Digester,Livestock Gas Capture/Combustion,US,[],5/4/2021,0,3214,
CAR,CAR574,Berkeley County Landfill Gas Project,Landfill Gas Capture/Combustion,US,[],9/26/2018,0,12096,
CAR,CAR502,Central Sanitary Landfill,Landfill Gas Capture/Combustion,US,[],11/13/2019,0,50770,
CAR,CAR503,Crow Wing County Landfill Gas Collection System,Landfill Gas Capture/Combustion,US,[],11/13/2018,0,8168,
CAR,CAR776,IESI-Trinity LaSalle/Grant Carbon Project,Landfill Gas Capture/Combustion,US,[],11/2/2018,0,5104,
CAR,CAR812,IESI-Trinity Timberlane Carbon Project,Landfill Gas Capture/Combustion,US,[],11/2/2018,0,15524,
CAR,CAR455,LP Gill Landfill Gas Recovery Project,Landfill Gas Capture/Combustion,US,[],3/13/2019,0,63102,
CAR,CAR429,McCloud River,Conservation-Based Forest Management,US,[],1/28/2020,0,5000,
CAR,CAR676,Pocosin Lakes Forest Conservation Project,Avoided Conversion,US,[],10/1/2021,0,72,
CAR,CAR1015,Rips Redwoods,Improved Forest Management,US,[],5/26/2021,0,4869,
CAR,CAR588,Stones Throw Landfill,Landfill Gas Capture/Combustion,US,[],5/31/2018,0,38045,
CAR,CAR782,Upstate Regional Landfill,Landfill Gas Capture/Combustion,US,[],11/27/2018,0,960,
CAR,CAR893,Duke Carbon Offsets Initiative - Loyd Ray Farms,Livestock Gas Capture/Combustion,US,[],10/19/2018,0,1179,
CAR,CAR476,Eagle Point Landfill,Landfill Gas Capture/Combustion,US,[],4/11/2018,0,133,
CAR,CAR409,McKinney Landfill,Landfill Gas Capture/Combustion,US,[],5/22/2020,0,20710,
